edad,nivel_educativo,horas_trabajadas,ingreso_mensual
56,secundaria,48.9,1673.99
46,secundaria,46.1,1614.62
32,secundaria,32.8,1398.33
60,universidad,37.3,2305.59
25,universidad,38.6,2037.76
38,universidad,46.2,2243.93
56,posgrado,52.5,3726.64
36,universidad,40.7,2146.45
40,posgrado,51.7,3322.11
28,posgrado,48.7,3173.17
28,universidad,42.1,2117.28
41,secundaria,25.6,1134.13
53,secundaria,29.7,1359.0
57,universidad,47.4,2516.91
41,universidad,22.9,1961.87
20,universidad,41.2,2121.02
39,secundaria,50.0,1528.14
19,universidad,41.5,2012.4
41,secundaria,34.0,1366.9
61,posgrado,31.5,3527.49
47,posgrado,48.2,3333.66
55,universidad,44.7,2633.12
19,secundaria,37.1,1048.82
38,secundaria,50.7,1582.69
50,secundaria,48.5,1614.16
29,universidad,57.9,2296.76
39,secundaria,45.7,1564.94
61,universidad,38.4,2465.31
42,secundaria,38.6,1370.43
44,posgrado,20.7,2760.44
59,universidad,41.5,2390.59
45,universidad,39.8,2281.56
33,universidad,26.7,1950.67
32,secundaria,39.7,1411.8
64,universidad,53.4,2854.83
61,universidad,32.7,2361.21
20,secundaria,30.4,1132.79
54,posgrado,51.0,3540.56
24,universidad,46.3,2272.38
38,universidad,60.0,2553.14
26,posgrado,26.8,2957.13
56,universidad,47.2,2668.95
35,secundaria,43.2,1440.08
21,secundaria,40.6,1211.8
42,universidad,49.1,2421.21
31,secundaria,39.7,1439.17
26,universidad,20.6,1839.69
43,posgrado,31.5,3228.96
19,secundaria,53.6,1347.77
37,secundaria,51.7,1479.0
45,secundaria,36.3,1359.53
64,posgrado,45.0,3408.8
24,secundaria,60.0,1571.03
61,universidad,39.7,2382.32
25,secundaria,39.9,1391.28
64,secundaria,41.9,1559.47
52,secundaria,46.1,1786.54
31,secundaria,36.5,1179.54
34,universidad,46.1,2127.1
53,universidad,20.6,1975.9
57,universidad,43.4,2635.59
21,secundaria,40.5,1233.59
19,secundaria,37.8,1230.33
23,secundaria,35.2,1160.32
59,secundaria,33.9,1509.59
21,universidad,31.9,1857.38
46,universidad,20.0,1985.07
35,secundaria,37.3,1379.26
43,secundaria,51.0,1782.28
61,secundaria,36.6,1392.24
51,universidad,46.4,2586.35
27,universidad,29.2,1980.77
53,secundaria,26.9,1317.37
31,posgrado,32.5,2962.61
48,secundaria,29.7,1450.54
32,posgrado,28.2,2985.44
25,universidad,44.5,1984.06
31,secundaria,57.8,1633.15
40,secundaria,33.3,1434.4
57,universidad,23.1,2222.01
38,universidad,46.6,2235.83
33,universidad,25.6,1800.41
62,universidad,28.2,2229.91
35,universidad,44.9,2569.65
64,universidad,38.3,2280.7
41,secundaria,33.1,1242.65
43,secundaria,40.7,1499.46
42,secundaria,35.9,1366.14
62,posgrado,58.9,3703.41
58,universidad,33.2,2501.1
46,posgrado,30.9,3057.66
32,secundaria,35.4,1270.32
62,posgrado,35.9,3398.28
18,universidad,46.0,2008.87
42,secundaria,20.1,997.2
24,universidad,44.3,2150.84
26,universidad,34.6,2180.17
41,posgrado,47.8,3386.98
18,secundaria,39.5,1201.86
61,secundaria,45.2,1716.08
